bucket_label,bucket_start,bucket_end,facebook_paid_social_spend_gbp,total_nts_gbp,visits,app_organic_scaled_nts_gbp,app_organic_new_customers,web_paid_social_scaled_nts_gbp,web_direct_scaled_nts_gbp,web_paid_social_new_customers,web_direct_new_customers,total_new_customers
F-8 (03-Feb to 16-Feb),2026-02-03,2026-02-16,24115.44,154690556.0098468,5102016,109833247.8138175,54059.57056138123,5898074.7672903985,2104284.944232405,2364.0,3154.152933627,122692.00000181302
F-7 (17-Feb to 02-Mar),2026-02-17,2026-03-02,22759.789999,158263177.6388578,5058833,111679456.47029875,55523.96917586545,7531989.40331072,2251963.705152139,2737.0,3177.980875157,125483.99999726
F-6 (03-Mar to 16-Mar),2026-03-03,2026-03-16,27920.169998999998,162885326.8584156,4970961,114891582.00275868,53373.952895435126,8437318.695530841,2378932.205807223,2500.0,3075.93574841,119401.99999693001
F-5 (17-Mar to 30-Mar),2026-03-17,2026-03-30,28288.61,161678861.9236153,5036648,115139736.28608288,55667.882078409595,8703051.41247685,2203244.667563062,2636.0,3153.336954552,124275.99998670998
F-4 (31-Mar to 13-Apr),2026-03-31,2026-04-13,27872.439999,153133380.2582881,4871955,111288178.55551964,62067.15593217883,8124527.34197144,2093202.51684279,2801.0,3307.304393937,135944.99999941298
F-3 (14-Apr to 27-Apr),2026-04-14,2026-04-27,27419.999999,162052313.1584121,5088529,121177924.55506352,56147.163586532035,7774219.098371835,2534876.708436456,2365.0,3450.641382011,126233.00000068599
F-2 (28-Apr to 11-May),2026-04-28,2026-05-11,29644.699998,165124898.66092992,5075567,118305538.2230971,50856.184094959215,9413643.25995827,2455561.3694932843,2844.0,3591.313592348,131484.999995005
F-1 (12-May to 25-May),2026-05-12,2026-05-25,25975.609998,163195320.8728272,5155119,116702320.87303205,52850.749990183955,9883834.863610784,2237623.085332624,3000.0,3454.609428004,137375.00001419501
F0 (26-May to 08-Jun),2026-05-26,2026-06-08,51142.079997,169605709.05661958,5339625,118112941.6873257,53786.48976852839,11228012.102815192,2465173.007539606,3668.0,3694.488281748,143869.00000391598
F1 (09-Jun to 22-Jun),2026-06-09,2026-06-22,0.0,167597962.6329185,5278294,117392061.1058782,55310.57669746869,10271118.793060722,2312769.92709014,2836.0,3653.791019435,142208.1402570011
