bucket_label,bucket_start,bucket_end,facebook_paid_social_spend_gbp,total_nts_gbp,total_transactions,visits,app_organic_scaled_nts_gbp,app_organic_new_customers,web_paid_social_scaled_nts_gbp,web_direct_scaled_nts_gbp,web_paid_social_new_customers,web_direct_new_customers,total_new_customers,nts_change_vs_prev_bucket,nts_pct_change_vs_prev_bucket,transactions_change_vs_prev_bucket,transactions_pct_change_vs_prev_bucket
F-35 (21-Jan to 03-Feb),2025-01-21,2025-02-03,4260.12,12719254.50184,504296,477856,8402989.56771653,3554.259175606183,491479.605812305,271408.137631203,219.0,424.809390397,9421.00000232801,,,,
F-34 (04-Feb to 17-Feb),2025-02-04,2025-02-17,59434.569997,152839327.4170688,6782979,6305834,103487553.83190548,56495.63193094886,6453421.9168972485,2739020.970098289,3390.0,5491.298572112,136531.99999835098,140120072.9152288,11.016374654265995,6278683.0,12.450392229960181
F-33 (18-Feb to 03-Mar),2025-02-18,2025-03-03,54880.31,159228439.91726968,6850856,6388713,110089678.92131877,59253.17224974449,5856535.892838213,2886192.495552671,3063.0,5761.176398441,142967.000003867,6389112.500200868,0.041802804344762794,67877.0,0.010006960068724965
F-32 (04-Mar to 17-Mar),2025-03-04,2025-03-17,58193.059996,162069759.70326233,6896330,5994027,112794620.55974586,55772.0839404138,6071928.388216576,3085146.1983223893,2702.0,5755.5198042560005,135306.000013867,2841319.785992652,0.01784429833934765,45474.0,0.006637710674403315
F-31 (18-Mar to 31-Mar),2025-03-18,2025-03-31,56843.66,162015789.1164447,6866449,5952938,116224085.55710448,50182.93659136674,6256473.911601831,2307560.1500900798,2757.0,5073.2620735850005,129998.00002393793,-53970.586817622185,-0.00033300837192847275,-29881.0,-0.004332884302230317
F-30 (01-Apr to 14-Apr),2025-04-01,2025-04-14,58917.27,161885742.43573,6752188,6089611,113736321.38984236,62170.75031623344,5882503.553635018,3003904.5350390067,2990.0,6355.712957701,146200.99998265196,-130046.68071469665,-0.0008026790563062277,-114261.0,-0.016640478943337377
F-29 (15-Apr to 28-Apr),2025-04-15,2025-04-28,59575.48,152453452.8780746,6259050,5775680,112618961.66499923,60712.68157924769,4564359.297153555,2820524.7494579228,2226.0,5469.86664999,134060.00000805102,-9432289.557655424,-0.05826510362022846,-493138.0,-0.07303380770796074
F-28 (29-Apr to 12-May),2025-04-29,2025-05-12,56827.339999,165935862.1969571,6822970,5754441,122524436.69024786,62510.14914153186,4610894.413055442,3108780.352167232,2268.0,5919.900731021,141169.000002622,13482409.318882525,0.08843623456442898,563920.0,0.09009673992059498
F-27 (13-May to 26-May),2025-05-13,2025-05-26,62898.469999,163953740.5605052,6779430,5482480,121821281.20259444,62200.926975829934,4401392.416264386,2644432.095695813,2336.0,6139.027295322,145318.999997666,-1982121.6364519,-0.011945107044426757,-43540.0,-0.006381385232530701
F-26 (27-May to 09-Jun),2025-05-27,2025-06-09,55183.139999,171628433.4394196,6782101,5988112,120329900.53376353,59273.858831778954,4752960.026532965,3293064.3319103103,2251.0,6261.742155474,149290.000004119,7674692.878914386,0.04681011151485214,2671.0,0.00039398592507039677
F-25 (10-Jun to 23-Jun),2025-06-10,2025-06-23,50801.609995,168883407.0044502,6881994,6035525,119212077.41766362,62467.099636577455,4161787.8784037773,3130272.12442618,2072.0,6453.265232124,150840.00000023097,-2745026.4349693954,-0.01599400740284866,99893.0,0.014728916599738046
F-24 (24-Jun to 07-Jul),2025-06-24,2025-07-07,56367.4,182278621.3618426,7135244,6217345,127422622.02421781,69806.66305657939,4298898.533424321,3151991.3826927147,2329.0,7006.3458422759995,167274.00001540105,13395214.3573924,0.07931634371302936,253250.0,0.036798927752625187
F-23 (08-Jul to 21-Jul),2025-07-08,2025-07-21,47737.95,170624849.2711936,6860246,6138208,118194691.14450844,66658.26593675886,3736903.403625731,2833041.163647004,2100.0,6548.8783035120005,159036.999999962,-11653772.090649009,-0.06393383932564983,-274998.0,-0.03854079832448617
F-22 (22-Jul to 04-Aug),2025-07-22,2025-08-04,49425.499999,167873857.0206063,6609350,5968262,114651030.72798759,65245.84784142337,4408660.486009062,2747208.015637374,2676.0,6415.39469397,159055.99999638493,-2750992.2505872846,-0.016123045748247477,-250896.0,-0.03657244944277509
